supermarket_id,timestamp,user_id,items_list,total_amount
SMKT003,2025-05-26T19:51:00.539354,01e1e159-8045-43c2-88dd-5682b18bd680,"eggs,milk",4.5
SMKT002,2025-05-31T11:04:00.496934,16a65199-b63e-40ba-8829-267460334dad,"eggs,bread,milk,apples",7.3
SMKT003,2025-06-03T15:45:00.506117,c8003885-807b-4351-b42f-dcd5eb5b9fcf,"eggs,milk,bread",6.5
SMKT002,2025-05-31T12:09:00.575127,fb24a7b1-dd5f-4a17-9e9c-54fb7297340b,"eggs,milk",4.5
SMKT003,2025-05-17T09:57:00.549044,05b63003-7b6f-4b56-89d4-e14161a7d77d,"bread,eggs",5
SMKT001,2025-06-01T11:19:00.489231,dacd441b-7800-4fa4-a93c-dc4d6cc5d3ae,"eggs,milk",4.5
SMKT002,2025-06-01T09:02:00.565156,d02d2680-625b-4119-b18a-ba2d889b25eb,"milk,bread",3.5
SMKT002,2025-05-16T10:48:00.508752,717778b8-b606-4ea8-bbee-9dc63b881f94,"bread,eggs",5
SMKT002,2025-05-30T11:54:00.516907,6819fd31-d563-4d7a-997b-95e59f39f842,"eggs,bread,milk",6.5
SMKT003,2025-06-07T10:31:00.552946,0440813f-2ddf-45be-8c0c-510e8f04ee77,"bread,eggs,milk",6.5
SMKT001,2025-06-06T13:56:00.479697,febf12bb-573a-42dc-90fc-bb750fa4827b,"bread,milk,cereal",7
SMKT001,2025-05-14T13:47:00.502639,d3a4721a-c155-4e77-b0bb-000dba0cf1c5,"eggs,bread",5
SMKT003,2025-05-31T15:08:00.551689,76deda4e-4366-4d09-94c7-de08d4ee8d33,"bread,eggs,milk",6.5
SMKT002,2025-05-24T19:12:00.516807,34840621-166a-48df-a461-822085a45f92,"bread,eggs",5
SMKT002,2025-05-27T07:15:00.547990,f09a0ea3-0629-4228-bb4a-97db922fcbf2,"milk,eggs,bread,toilet paper",10.5
SMKT002,2025-05-14T10:10:00.469849,d47f3ee7-4989-47ea-bb18-be63aecd2c1a,"milk,bread,eggs",6.5
SMKT003,2025-05-22T20:21:00.487571,8fe0bff9-6a37-4301-abd5-4e43778c81ea,"eggs,bread",5
SMKT003,2025-05-13T08:05:00.561830,56ba9fe7-c799-4a68-a6ec-05091a7d25c6,"milk,eggs",4.5
SMKT002,2025-05-27T11:13:00.504001,c334f9cc-c83c-4893-9e96-451bcf682646,"milk,eggs",4.5
SMKT003,2025-06-12T13:07:00.564849,8cd6ba0b-0522-4496-a6b3-ca1b987ab737,"milk,bread",3.5
SMKT002,2025-06-01T19:06:00.467559,b86956e0-8c36-479d-9be2-7a32fed77e5c,"bread,eggs,cheese",10
SMKT003,2025-05-31T16:34:00.476910,bc03e442-c061-4bde-afe4-2b74a48e8714,"milk,bread,eggs,chicken",13
SMKT002,2025-05-24T13:46:00.558736,4537be92-363e-44e2-b886-0992591fc7d6,"milk,eggs,bread",6.5
SMKT001,2025-05-28T13:06:00.506703,b3c36bce-3c1a-44e1-afc7-94cc50dc0b9f,"bread,eggs",5
SMKT002,2025-06-07T18:30:00.556349,ea8df1c1-bc21-4879-b709-4e3dce45e21d,"eggs,milk,bread,chicken",13
SMKT003,2025-05-20T12:56:00.481626,d6c59b70-0daa-4d8f-b14e-a05ba31284a1,"eggs,bread",5
SMKT002,2025-05-28T20:55:00.512128,fc6cbf2f-55ab-4e16-a396-873a62d066af,"eggs,bread,milk",6.5
SMKT002,2025-06-03T15:21:00.556957,f32bf40a-8174-4de1-8694-70d27a72ee18,"bread,milk,eggs",6.5
SMKT002,2025-06-08T08:14:00.503275,6e15778b-a698-46b1-9e34-e46cff2b70ad,"bread,eggs",5
SMKT001,2025-05-14T12:41:00.496757,8ea3c6cb-5ffa-4c55-8e4f-67f5e0458267,"milk,bread",3.5
SMKT001,2025-06-09T11:52:00.509485,125c12d0-b0fb-4d88-b535-4e337c32119a,"milk,eggs,bread",6.5
SMKT002,2025-05-23T10:46:00.519373,6866e415-25c6-40b9-904b-6f63567c0db4,"eggs,bread",5
SMKT002,2025-06-12T17:04:00.491302,0ad27fc8-4aee-41bb-af29-cfb8465e73cd,"bread,milk,chicken",10
SMKT002,2025-05-17T08:22:00.494733,0d49dbc3-aa21-47c2-a600-b8836b55094c,"eggs,bread",5
SMKT002,2025-05-27T10:18:00.537449,c5863113-7c56-4106-9ca2-c4f761a4fe27,"milk,bread,eggs",6.5
SMKT003,2025-06-06T12:56:00.469431,b5c169f0-127e-4389-a5d5-4dba97975aa8,"milk,eggs,bread",6.5
SMKT003,2025-06-03T19:26:00.462027,f8b8f1b8-d561-4a3f-9222-a5fe03c33a51,"milk,bread,toilet paper",7.5
SMKT003,2025-05-22T14:15:00.571686,d04dbbb3-6966-4b39-82fb-95189d1c8a58,"milk,eggs",4.5
SMKT001,2025-06-07T12:54:00.518121,1542f7ae-fdc2-449e-851b-72125c77a4dd,"bread,milk",3.5
SMKT002,2025-06-02T07:21:00.494621,737749a4-a91e-405e-9724-6229a193f66f,"eggs,bread,milk",6.5
SMKT003,2025-05-15T18:39:00.515070,7aed2d1d-4e64-4fae-9edf-01b636fd9317,"bread,milk,chicken",10
SMKT001,2025-06-02T10:04:00.495368,f5ee1e2f-bf92-44c8-9371-ce05a97a728e,"eggs,milk",4.5
SMKT003,2025-05-19T06:42:00.484439,039eb56f-eca9-46c0-a67f-3df3c0d25280,"eggs,milk,bread",6.5
SMKT002,2025-05-30T06:23:00.544266,76e64981-8561-44c4-95d8-75be6cfec38f,"bread,eggs,milk",6.5
SMKT002,2025-05-26T12:37:00.461539,a8870c69-34af-4929-b07b-181e8a84a9d0,"bread,milk,yogurt",4.7
